Iteration,H,Number of connected components,Maximum number of connected components,Number of connected components / Maximum number of connected components,Volume largest connected component,Total Volume,Largest volume / Total volume,Is percolating
1,0.65625,32,52,0.615385,33617,61045.6,0.550686,0
1,0.652344,31,52,0.596154,33617,61735.6,0.544532,0
1,0.648438,30,52,0.576923,48667,62759.6,0.775451,0
1,0.644531,30,52,0.576923,49115,63207.6,0.777042,0
1,0.640625,28,52,0.538462,49355,63703.6,0.77476,1
1,0.636719,26,52,0.5,51201,64439.6,0.794558,1
1,0.632813,27,52,0.519231,51713,65063.6,0.794807,1
1,0.628906,27,52,0.519231,52435,65785.6,0.797059,1
1,0.625,27,52,0.519231,52435,66265.6,0.791285,1
1,0.621094,26,52,0.5,54163,66969.6,0.80877,1
1,0.617188,26,52,0.5,54853,67659.6,0.81072,1
1,0.613281,26,52,0.5,55575,68381.6,0.812718,1
1,0.609375,27,52,0.519231,56087,69021.6,0.8126,1
1,0.605469,24,52,0.461538,58253,69343.6,0.840063,1
1,0.601563,24,52,0.461538,58477,69807.6,0.837688,1
1,0.597656,23,52,0.442308,59485,70303.6,0.846116,1
1,0.59375,23,52,0.442308,60237,71055.6,0.847744,1
1,0.589844,21,52,0.403846,62285,71679.6,0.868936,1
1,0.585938,21,52,0.403846,62733,72127.6,0.86975,1
1,0.582031,20,52,0.384615,63877,72863.6,0.876665,1
1,0.578125,20,52,0.384615,64901,73887.6,0.878374,1
1,0.574219,19,52,0.365385,70229,74367.6,0.944349,1
1,0.570313,16,52,0.307692,71237,74815.6,0.952167,1
1,0.566406,16,52,0.307692,71717,75807.6,0.946039,1
1,0.5625,15,52,0.288462,71973,76155.5,0.945079,1
1,0.558594,14,52,0.269231,72681,76765.5,0.946792,1
1,0.554688,13,52,0.25,73161,77117.5,0.948695,1
1,0.550781,13,52,0.25,74185,78141.5,0.949368,1
1,0.546875,13,52,0.25,74747,78703.5,0.949729,1
1,0.542969,12,52,0.230769,75867,79327.5,0.956377,1
1,0.539063,12,52,0.230769,76859,80319.5,0.956916,1
1,0.535156,11,52,0.211538,77523,80815.5,0.959259,1
1,0.53125,11,52,0.211538,78515,81807.5,0.959753,1
1,0.527344,11,52,0.211538,78995,82287.5,0.959988,1
1,0.523438,11,52,0.211538,79605,82897.5,0.960282,1
1,0.519531,10,52,0.192308,80137,83219.5,0.962959,1
1,0.515625,10,52,0.192308,80587,84181.5,0.957301,1
1,0.511719,9,52,0.173077,81339,84677.5,0.960574,1
1,0.507813,9,52,0.173077,82043,85381.5,0.960899,1
1,0.503906,9,52,0.173077,82811,86149.5,0.961248,1
1,0.5,9,52,0.173077,83835,87173.5,0.961703,1
1,0.496094,9,52,0.173077,84827,88165.5,0.962134,1
1,0.492188,8,52,0.153846,87085,88887.5,0.979722,1
1,0.488281,8,52,0.153846,87446,89248.5,0.979804,1
1,0.484375,8,52,0.153846,87799,89601.5,0.979883,1
1,0.480469,8,52,0.153846,88551,90353.5,0.980051,1
1,0.476563,8,52,0.153846,88919,90721.5,0.980132,1
1,0.472656,8,52,0.153846,89400,91202.5,0.980236,1
1,0.46875,8,52,0.153846,90392,92194.5,0.980449,1
1,0.464844,8,52,0.153846,91112,92914.5,0.9806,1
1,0.460938,8,52,0.153846,91816,93618.5,0.980746,1
1,0.457031,8,52,0.153846,92312,94114.5,0.980848,1
1,0.453125,7,52,0.134615,93354,94706.5,0.985719,1
1,0.449219,6,52,0.115385,93866,95282.5,0.985134,1
1,0.445313,6,52,0.115385,94602,96018.5,0.985248,1
1,0.441406,5,52,0.0961538,95290,96386.5,0.988624,1
1,0.4375,5,52,0.0961538,95674,96770.5,0.988669,1
1,0.433594,5,52,0.0961538,96314,97410.5,0.988743,1
1,0.429688,5,52,0.0961538,97050,98146.5,0.988828,1
1,0.425781,5,52,0.0961538,97980,99076.5,0.988933,1
1,0.421875,5,52,0.0961538,98700,99796.5,0.989013,1
1,0.417969,4,52,0.0769231,99550,100263,0.992894,1
1,0.414063,4,52,0.0769231,100542,101255,0.992963,1
1,0.410156,4,52,0.0769231,101022,101735,0.992996,1
1,0.40625,4,52,0.0769231,102014,102727,0.993064,1
1,0.402344,3,52,0.0576923,102718,103191,0.995421,1
1,0.398438,3,52,0.0576923,103230,103703,0.995444,1
1,0.394531,3,52,0.0576923,104222,104695,0.995487,1
1,0.390625,3,52,0.0576923,104642,105115,0.995505,1
1,0.386719,2,52,0.0384615,105774,105823,0.999537,1
1,0.382813,2,52,0.0384615,106240,106289,0.999539,1
1,0.378906,2,52,0.0384615,106930,106979,0.999542,1
1,0.375,2,52,0.0384615,107364,107413,0.999544,1
1,0.371094,2,52,0.0384615,108100,108149,0.999547,1
1,0.367188,2,52,0.0384615,108868,108917,0.99955,1
1,0.363281,2,52,0.0384615,109558,109607,0.999553,1
1,0.359375,2,52,0.0384615,109894,109943,0.999554,1
1,0.355469,2,52,0.0384615,110918,110967,0.999558,1
1,0.351563,2,52,0.0384615,111352,111401,0.99956,1
1,0.347656,2,52,0.0384615,111976,112025,0.999563,1
1,0.34375,2,52,0.0384615,112548,112597,0.999565,1
1,0.339844,2,52,0.0384615,113126,113175,0.999567,1
1,0.335938,2,52,0.0384615,113894,113943,0.99957,1
1,0.332031,2,52,0.0384615,114630,114679,0.999573,1
1,0.328125,2,52,0.0384615,114982,115031,0.999574,1
1,0.324219,2,52,0.0384615,115462,115511,0.999576,1
1,0.320313,1,52,0.0192308,116128,116128,1,1
1,0.316406,1,52,0.0192308,116504,116504,1,1
1,0.3125,1,52,0.0192308,116865,116865,1,1
1,0.308594,1,52,0.0192308,117331,117331,1,1
1,0.304688,1,52,0.0192308,118083,118083,1,1
1,0.300781,1,52,0.0192308,118707,118707,1,1
1,0.296875,1,52,0.0192308,119292,119292,1,1
1,0.292969,1,52,0.0192308,119996,119996,1,1
1,0.289063,1,52,0.0192308,120988,120988,1,1
1,0.285156,1,52,0.0192308,121756,121756,1,1
1,0.28125,1,52,0.0192308,122348,122348,1,1
1,0.277344,1,52,0.0192308,123116,123116,1,1
1,0.273438,1,52,0.0192308,123582,123582,1,1
1,0.269531,1,52,0.0192308,124272,124272,1,1
1,0.265625,1,52,0.0192308,124976,124976,1,1
1,0.261719,1,52,0.0192308,125968,125968,1,1
1,0.257813,1,52,0.0192308,126690,126690,1,1
1,0.253906,1,52,0.0192308,127442,127442,1,1
1,0.25,1,52,0.0192308,128178,128178,1,1
1,0.246094,1,52,0.0192308,129170,129170,1,1
1,0.242188,1,52,0.0192308,130130,130130,1,1
1,0.238281,1,52,0.0192308,130610,130610,1,1
1,0.234375,1,52,0.0192308,131332,131332,1,1
1,0.230469,1,52,0.0192308,131924,131924,1,1
1,0.226563,1,52,0.0192308,132692,132692,1,1
1,0.222656,1,52,0.0192308,133060,133060,1,1
1,0.21875,1,52,0.0192308,134052,134052,1,1
1,0.214844,1,52,0.0192308,135076,135076,1,1
1,0.210938,1,52,0.0192308,135414,135414,1,1
1,0.207031,1,52,0.0192308,136406,136406,1,1
1,0.203125,1,52,0.0192308,137142,137142,1,1
1,0.199219,1,52,0.0192308,138134,138134,1,1
1,0.195313,1,52,0.0192308,138774,138774,1,1
1,0.191406,1,52,0.0192308,139478,139478,1,1
1,0.1875,1,52,0.0192308,140470,140470,1,1
1,0.183594,1,52,0.0192308,141206,141206,1,1
1,0.179688,1,52,0.0192308,141686,141686,1,1
1,0.175781,1,52,0.0192308,142678,142678,1,1
1,0.171875,1,52,0.0192308,143302,143302,1,1
1,0.167969,1,52,0.0192308,143798,143798,1,1
1,0.164063,1,52,0.0192308,144278,144278,1,1
1,0.160156,1,52,0.0192308,144759,144759,1,1
1,0.15625,1,52,0.0192308,145383,145383,1,1
1,0.152344,1,52,0.0192308,146060,146060,1,1
1,0.148438,1,52,0.0192308,146796,146796,1,1
1,0.144531,1,52,0.0192308,147230,147230,1,1
1,0.140625,1,52,0.0192308,148254,148254,1,1
1,0.136719,1,52,0.0192308,148606,148606,1,1
1,0.132813,1,52,0.0192308,149342,149342,1,1
1,0.128906,1,52,0.0192308,150272,150272,1,1
1,0.125,1,52,0.0192308,150994,150994,1,1
1,0.121094,1,52,0.0192308,151442,151442,1,1
1,0.117188,1,52,0.0192308,151922,151922,1,1
1,0.113281,1,52,0.0192308,152470,152470,1,1
1,0.109375,1,52,0.0192308,153404,153404,1,1
1,0.105469,1,52,0.0192308,153996,153996,1,1
1,0.101563,1,52,0.0192308,154348,154348,1,1
1,0.0976563,1,52,0.0192308,155084,155084,1,1
1,0.09375,1,52,0.0192308,155317,155317,1,1
1,0.0898438,1,52,0.0192308,155957,155957,1,1
1,0.0859375,1,52,0.0192308,156693,156693,1,1
1,0.0820313,1,52,0.0192308,157399,157399,1,1
1,0.078125,1,52,0.0192308,158391,158391,1,1
1,0.0742188,1,52,0.0192308,159001,159001,1,1
1,0.0703125,1,52,0.0192308,159769,159769,1,1
1,0.0664063,1,52,0.0192308,160505,160505,1,1
1,0.0625,1,52,0.0192308,160841,160841,1,1
1,0.0585938,1,52,0.0192308,161609,161609,1,1
1,0.0546875,1,52,0.0192308,162043,162043,1,1
1,0.0507813,1,52,0.0192308,162395,162395,1,1
1,0.046875,1,52,0.0192308,163005,163005,1,1
2,1,13,52,0.25,512,3984,0.128514,0
2,0.996094,15,52,0.288462,512,4976,0.102894,0
2,0.992188,15,52,0.288462,896,5616,0.159544,0
2,0.988281,16,52,0.307692,896,6112,0.146597,0
2,0.984375,17,52,0.326923,896,6848,0.130841,0
2,0.980469,18,52,0.346154,960,7840,0.122449,0
2,0.976563,19,52,0.365385,1024,8401,0.12189,0
2,0.972656,21,52,0.403846,1024,8723,0.117391,0
2,0.96875,23,52,0.442308,1024,9045,0.113212,0
2,0.964844,23,52,0.442308,1536,9767,0.157264,0
2,0.960938,24,52,0.461538,1536,10201,0.150573,0
2,0.957031,26,52,0.5,1536,11161,0.137622,0
2,0.953125,28,52,0.538462,1536,11673,0.131586,0
2,0.949219,29,52,0.557692,1536,12137,0.126555,0
2,0.945313,29,52,0.557692,1536,12602,0.121885,0
2,0.941406,31,52,0.596154,1536,13114,0.117127,0
2,0.9375,32,52,0.615385,1536,13436,0.11432,0
2,0.933594,34,52,0.653846,1536,14188,0.108261,0
2,0.929688,36,52,0.692308,1536,14428,0.10646,0
2,0.925781,38,52,0.730769,1536,14894,0.103129,0
2,0.921875,39,52,0.75,1536,15856,0.0968718,0
2,0.917969,39,52,0.75,1536,16352,0.0939335,0
2,0.914063,40,52,0.769231,1536,16720,0.091866,0
2,0.910156,42,52,0.807692,1536,17682,0.086868,0
2,0.90625,42,52,0.807692,1536,18292,0.0839711,0
2,0.902344,41,52,0.788462,1536,18614,0.0825185,0
2,0.898438,42,52,0.807692,1536,19094,0.0804441,0
2,0.894531,42,52,0.807692,2048,19697.9,0.103971,0
2,0.890625,43,52,0.826923,2048,20721.9,0.0988328,0
2,0.886719,45,52,0.865385,2048,21745.9,0.0941788,0
2,0.882813,44,52,0.846154,2048,22113.9,0.0926115,0
2,0.878906,44,52,0.846154,2048,22737.9,0.09007,0
2,0.875,46,52,0.884615,2048,23185.9,0.0883296,0
2,0.871094,44,52,0.846154,2048,23665.9,0.0865381,0
2,0.867188,45,52,0.865385,2048,24049.9,0.0851564,0
2,0.863281,45,52,0.865385,2048,24817.9,0.0825212,0
2,0.859375,47,52,0.903846,2048,25027.9,0.0818288,0
2,0.855469,48,52,0.923077,2048,25539.9,0.0801883,0
2,0.851563,47,52,0.903846,2048,26003.9,0.0787575,0
2,0.847656,46,52,0.884615,2528,26755.9,0.0944839,0
2,0.84375,46,52,0.884615,3040,27779.9,0.109432,0
2,0.839844,47,52,0.903846,3552,28501.9,0.124623,0
2,0.835938,46,52,0.884615,3552,28965.9,0.122627,0
2,0.832031,46,52,0.884615,3552,29687.9,0.119645,0
2,0.828125,47,52,0.903846,3552,30377.9,0.116927,0
2,0.824219,48,52,0.923077,3552,31099.9,0.114213,0
2,0.820313,48,52,0.923077,3552,31533.9,0.112641,0
2,0.816406,47,52,0.903846,3552,32029.9,0.110896,0
2,0.8125,47,52,0.903846,3552,32765.9,0.108405,0
2,0.808594,47,52,0.903846,3552,32975.9,0.107715,0
2,0.804688,48,52,0.923077,3552,33543.9,0.105891,0
2,0.800781,49,52,0.942308,3552,34007.9,0.104446,0
2,0.796875,49,52,0.942308,3552,34543.9,0.102826,0
2,0.792969,49,52,0.942308,3552,35295.9,0.100635,0
2,0.789063,50,52,0.961538,3552,35999.9,0.098667,0
2,0.785156,50,52,0.961538,3552,36673.9,0.0968537,0
2,0.78125,50,52,0.961538,3552,37409.9,0.0949482,0
2,0.777344,51,52,0.980769,4064,38401.9,0.105828,0
2,0.773438,52,52,1,4064,39137.9,0.103838,0
2,0.769531,50,52,0.961538,4064,40129.9,0.101271,0
2,0.765625,49,52,0.942308,4064,40833.9,0.0995252,0
2,0.761719,50,52,0.961538,4064,41187.9,0.0986698,0
2,0.757813,52,52,1,4064,41923.9,0.0969376,0
2,0.753906,52,52,1,4064,42691.9,0.0951938,0
2,0.75,51,52,0.980769,4064,42999.9,0.0945119,0
2,0.746094,50,52,0.961538,4064,43735.9,0.0929214,0
2,0.742188,50,52,0.961538,4064,44471.9,0.0913836,0
2,0.738281,50,52,0.961538,4064,44779.9,0.0907551,0
2,0.734375,50,52,0.961538,4064,45403.9,0.0895078,0
2,0.730469,50,52,0.961538,4064,46140.9,0.0880781,0
2,0.726563,49,52,0.942308,6736,46892.9,0.143647,0
2,0.722656,47,52,0.903846,10091.9,47628.9,0.211886,0
2,0.71875,47,52,0.903846,10301.9,47966.9,0.214771,0
2,0.714844,45,52,0.865385,10301.9,48958.9,0.210419,0
2,0.710938,45,52,0.865385,10301.9,49982.9,0.206108,0
2,0.707031,44,52,0.846154,10301.9,50350.9,0.204602,0
2,0.703125,44,52,0.846154,10781.9,51040.9,0.21124,0
2,0.699219,41,52,0.788462,12933.9,52064.9,0.248418,0
2,0.695313,40,52,0.769231,12933.9,52512.9,0.246299,0
2,0.691406,37,52,0.711538,15568,52992.9,0.293775,0
2,0.6875,35,52,0.673077,15568,53984.9,0.288377,0
2,0.683594,33,52,0.634615,19784,54976.9,0.35986,0
2,0.679688,32,52,0.615385,35741.9,55472.9,0.644313,1
2,0.675781,32,52,0.615385,36253.9,56496.9,0.641697,1
2,0.671875,32,52,0.615385,36989.9,57232.9,0.646305,1
2,0.667969,31,52,0.596154,37437.9,57968.9,0.645827,1
2,0.664063,31,52,0.596154,37647.9,58418.9,0.644447,1
2,0.660156,29,52,0.557692,37903.9,58898.9,0.643542,1
2,0.65625,29,52,0.557692,38015.9,59122.9,0.642998,1
2,0.652344,28,52,0.538462,39039.9,60114.9,0.649421,1
2,0.648438,26,52,0.5,45999.9,60882.9,0.755547,1
2,0.644531,25,52,0.480769,47361.9,61572.9,0.7692,1
2,0.640625,23,52,0.442308,49505.9,61992.9,0.798574,1
2,0.636719,23,52,0.442308,50129.9,62616.9,0.800581,1
2,0.632813,21,52,0.403846,53585.9,63608.9,0.842428,1
2,0.628906,20,52,0.384615,53697.9,63818.9,0.841411,1
2,0.625,20,52,0.384615,54433.9,64554.9,0.843219,1
2,0.621094,20,52,0.384615,55425.9,65546.9,0.845591,1
2,0.617188,19,52,0.365385,56508.8,66223.8,0.8533,1
2,0.613281,19,52,0.365385,57020.8,66975.8,0.851364,1
2,0.609375,19,52,0.365385,58044.8,67967.8,0.854004,1
2,0.605469,18,52,0.346154,59228.8,68303.8,0.867138,1
2,0.601563,19,52,0.365385,59452.8,69007.8,0.861537,1
2,0.597656,19,52,0.365385,60188.8,69743.8,0.862998,1
2,0.59375,18,52,0.346154,60671.8,70002.8,0.866705,1
2,0.589844,18,52,0.346154,61039.8,70370.8,0.867402,1
2,0.585938,18,52,0.346154,61519.8,70850.8,0.868301,1
2,0.582031,15,52,0.288462,64335.8,71618.8,0.898309,1
